Unnamed: 0,drugName,condition,review,rating,date,usefulCount,drug_class,sentiment,sentiment_label,Review_Sentiment,review_clean,sentiment_clean,review_clean_ss,sentiment_clean_ss,count_word,count_unique_word,count_letters,count_punctuations,count_words_upper,count_words_title,count_stopwords,mean_word_len,Year,month,day
156544,29,1,"""Hey Guys,  It&#039;s been 4 months since my last post as I wanted to give it a few months to see how this was going to work.  So, I have been on Trulicity for six months now with Metformin.  When I hit the five month period the diarrhea, gas, sulphur belching finally subsided.  I now longer have any of those side effects.  However, I still haven&#039;t lost any weight at all, but I think that was because when I first started Trulicity I was taking it with Glimepiride and that one has a side effect of weight gain so I think the two meds were fighting each other lol.  I have been back on the Metformin with Trulicity for about a week now, so we will see what this does.  I was diagnosed as  stage 3 chronic kidney disease (CKD 3) so I am watching diet closely.""",10,2017-10-24,24,oral hypoglycemics,0.10357142857142858,positive,1.0,hey guy 4 month sinc last post want give month see go work trulic six month metformin hit five month period diarrhea gas sulphur belch final subsid longer ani side effect howev still havent lost ani weight think becaus first start trulic take glimepirid one side effect weight gain think two med fight lol back metformin trulic week see doe diagnos stage 3 chronic kidney diseas ckd 3 watch diet close,0.10357142857142858,hey guys its been 4 months since my last post as i wanted to give it a few months to see how this was going to work so i have been on trulicity for six months now with metformin when i hit the five month period the diarrhea gas sulphur belching finally subsided i now longer have any of those side effects however i still havent lost any weight at all but i think that was because when i first started trulicity i was taking it with glimepiride and that one has a side effect of weight gain so i think the two meds were fighting each other lol i have been back on the metformin with trulicity for about a week now so we will see what this does i was diagnosed as stage 3 chronic kidney disease ckd 3 so i am watching diet closely,0.10357142857142858,147,96,729,24,13,23,75,3.9659863945578233,2017,10,24
102810,12,0,"""Intake Effexor XR 375 mg, and lorazepam for depression and anxiety. My doctor added Abilify and I took it in mornings. It made me foggy. I moved it to Bertie and sleep better overall. I have noticed an increase in irritability which equates to feeling extremely angry by 3 pm daily. I&#039;ve rearranged my lorazepam to reduce that but need more time. I&#039;m also having restlessness which almost feels manic. We shall see. Increased cravings for sweets.""",4,2012-08-17,33,antifungal (except metronidazole),0.1,positive,0.0,intak effexor xr 375 mg lorazepam depress anxieti doctor ad abilifi took morn made foggi move berti sleep better overal notic increas irrit equat feel extrem angri 3 pm daili ive rearrang lorazepam reduc need time im also restless almost feel manic shall see increas crave sweet,0.3208333333333333,intake effexor xr 375 mg and lorazepam for depression and anxiety my doctor added abilify and i took it in mornings it made me foggy i moved it to bertie and sleep better overall i have noticed an increase in irritability which equates to feeling extremely angry by 3 pm daily ive rearranged my lorazepam to reduce that but need more time im also having restlessness which almost feels manic we shall see increased cravings for sweets,0.1,77,63,434,18,4,11,30,4.64935064935065,2012,8,17
208641,10,2,"""My blood pressure has been around 160/100. Doctor prescribed Azor 40/10. Just 4 hrs later my reading showed 120/82. I was amazed. I am now on it daily. Thanks to Azor.""",10,2015-01-19,10,arb blocker,0.06666666666666667,positive,1.0,blood pressur around 160 100 doctor prescrib azor 40 10 4 hrs later read show 120 82 amaz daili thank azor,0.0,my blood pressure has been around 160 100 doctor prescribed azor 40 10 just 4 hrs later my reading showed 120 82 i was amazed i am now on it daily thanks to azor,0.06666666666666667,34,31,161,11,2,8,12,3.764705882352941,2015,1,19
156730,29,1,"""I was recently referred to a endocrinologist and he started me on Trulicity and Jardiance. I&#039;ve tried to take Byetta in the past but had to stop because it made me very sick. I lost weight. But that was because I was throwing up all day. Effective weight loss method but I do NOT recommend it! 
I&#039;ve taken one dose of Trulicity and while I do have mild nausea it is not bad and I have switched from coffee to green tea in the morning. Really helps. That I would recommend. Sugar levels have not dropped significantly but they are dropping. Guess one week won&#039;t work wonders and I have to wait a bit. I don&#039;t know if it is the Trulicity or the Jardiance or the combo of both but I have managed to lose 7 pounds in 5 days.""",9,2015-11-05,12,oral hypoglycemics,0.06997354497354497,positive,1.0,recent refer endocrinologist start trulic jardianc ive tri take byetta past stop becaus made veri sick lost weight becaus throw day effect weight loss method recommend ive taken one dose trulic mild nausea bad switch coffe green tea morn realli help would recommend sugar level drop signific drop guess one week wont work wonder wait bit dont know trulic jardianc combo manag lose 7 pound 5 day,-0.08015873015873017,i was recently referred to a endocrinologist and he started me on trulicity and jardiance ive tried to take byetta in the past but had to stop because it made me very sick i lost weight but that was because i was throwing up all day effective weight loss method but i do not recommend it ive taken one dose of trulicity and while i do have mild nausea it is not bad and i have switched from coffee to green tea in the morning really helps that i would recommend sugar levels have not dropped significantly but they are dropping guess one week wont work wonders and i have to wait a bit i dont know if it is the trulicity or the jardiance or the combo of both but i have managed to lose 7 pounds in 5 days,0.05330687830687829,141,87,704,25,11,22,75,4.0,2015,11,5
82188,51,1,"""have only been on victorza for a few days.  I had bad nausea and migranes then it changed to no energy at all .  I sleep till noon one day and I have 2 young kids and a full time job.  Searching for a better answer""",5,2016-01-28,18,oral hypoglycemics,0.00833333333333334,positive,1.0,onli victorza day bad nausea migran chang energi sleep till noon one day 2 young kid full time job search better answer,0.010000000000000009,have only been on victorza for a few days i had bad nausea and migranes then it changed to no energy at all i sleep till noon one day and i have 2 young kids and a full time job searching for a better answer,0.00833333333333334,45,37,207,5,3,4,23,3.6222222222222222,2016,1,28
32516,52,2,"""I&#039;m a 27 year old white male in good shape but have always had high blood pressure...I&#039;m guessing genetic. My blood pressure would run anywhere from 130-160 over 85-105. The doctor tried a diuretic which did nothing, and then a beta blocker which had horrible side effects. They finally tried 10mg of lisinopril and wow how great! It almost immediately brought my blood pressure to 118/80&#039;s. I actually cut my dose to 2.5 mg in the morning and 2.5 mg at lunch and my blood pressure stays perfect all day and night. I have had no side effects whatsoever and wouldn&#039;t even know I was taking any medication if it weren&#039;t for my lowered blood pressure. Highly recommend!""",10,2011-12-09,55,ace inhibitor,0.18833333333333335,positive,1.0,im 27 year old white male good shape alway high blood pressur im guess genet blood pressur would run anywher 130 160 85 105 doctor tri diuret noth beta blocker horribl side effect final tri 10mg lisinopril wow great almost immedi brought blood pressur 118 80s actual cut dose 2 5 mg morn 2 5 mg lunch blood pressur stay perfect day night side effect whatsoev wouldnt even know take ani medic werent lower blood pressur high recommend,0.2745454545454546,im a 27 year old white male in good shape but have always had high blood pressure im guessing genetic my blood pressure would run anywhere from 130 160 over 85 105 the doctor tried a diuretic which did nothing and then a beta blocker which had horrible side effects they finally tried 10mg of lisinopril and wow how great it almost immediately brought my blood pressure to 118 80s i actually cut my dose to 2 5 mg in the morning and 2 5 mg at lunch and my blood pressure stays perfect all day and night i have had no side effects whatsoever and wouldnt even know i was taking any medication if it werent for my lowered blood pressure highly recommend,0.16833333333333333,124,88,650,34,3,8,47,4.25,2011,12,9
197894,55,2,"""I have been on metoprolol er 12.5mg since September 20th. The first month was great then on October 21st my resting heart rate went from 61 to 70 and when I walk it suddenly goes to 140 for no reason. I work out 6 days a week and it doesn&#039;t make any sence to me. Going back to my doctor tomorrow to figure it out. I just don&#039;t see why all of a sudden it would make things 10x worse. I didn&#039;t take it today to see if it would help. I was able to exersice without my heart rate sky rocketing to ridiculous numbers. This is the first medication like this I have ever taken. Plus the weight gain is ridiculous. I lost 15 lbs before starting this medication and less then 2 months I gained it all back.""",2,2016-11-03,19,beta blockers,0.037777777777777785,positive,0.0,metoprolol er 12 5mg sinc septemb 20th first month great octob 21st rest heart rate went 61 70 walk sudden goe 140 reason work 6 day week doesnt make ani senc go back doctor tomorrow figur dont see whi sudden would make thing 10x wors didnt take today see would help abl exersic without heart rate sky rocket ridicul number first medic like ever taken plus weight gain ridicul lost 15 lbs befor start medic less 2 month gain back,0.11333333333333333,i have been on metoprolol er 12 5mg since september 20th the first month was great then on october 21st my resting heart rate went from 61 to 70 and when i walk it suddenly goes to 140 for no reason i work out 6 days a week and it doesnt make any sence to me going back to my doctor tomorrow to figure it out i just dont see why all of a sudden it would make things 10x worse i didnt take it today to see if it would help i was able to exersice without my heart rate sky rocketing to ridiculous numbers this is the first medication like this i have ever taken plus the weight gain is ridiculous i lost 15 lbs before starting this medication and less then 2 months i gained it all back,0.037777777777777785,141,95,684,22,9,15,61,3.858156028368794,2016,11,3
232066,75,0,"""It has worked so far for me and I would recommend it to anyone suffering with depression.""",7,2008-07-25,99,opiod analgesics,0.1,positive,1.0,work far would recommend anyon suffer depress,0.01666666666666667,it has worked so far for me and i would recommend it to anyone suffering with depression,0.1,17,16,88,3,1,2,9,4.235294117647059,2008,7,25
82584,51,1,"""I have only been on Victoza for less than a week now and already huge difference in my levels. Prior to Victoza I was on 2000mg Metforming, 5mg Onglyza following a low carb diet. That brought my levels down to an average of about 14 while fasting. Since being on the Victoza the highest reading I have had so far is a 12.5 which for me is incredible I can&#039;t wait to see what I will be at over the next month.  I am not focusing on the weight loss at the moment if it happens awesome, but I&#039;m most concerned about my sugars. As for side effects I have had very mild nausea and that&#039;s all.""",10,2011-04-15,6,oral hypoglycemics,0.2043650793650794,positive,1.0,onli victoza less week alreadi huge differ level prior victoza 2000mg metform 5mg onglyza follow low carb diet brought level averag 14 fast sinc victoza highest read far 12 5 incred cant wait see next month focus weight loss moment happen awesom im concern sugar side effect veri mild nausea,0.12111111111111113,i have only been on victoza for less than a week now and already huge difference in my levels prior to victoza i was on 2000mg metforming 5mg onglyza following a low carb diet that brought my levels down to an average of about 14 while fasting since being on the victoza the highest reading i have had so far is a 12 5 which for me is incredible i cant wait to see what i will be at over the next month i am not focusing on the weight loss at the moment if it happens awesome but im most concerned about my sugars as for side effects i have had very mild nausea and thats all,0.2043650793650794,118,87,575,20,7,16,67,3.8813559322033897,2011,4,15
81720,51,1,"""Started this last night. I have zero appetite. How is this possible? I love food, but I don&#039;t really feel like eating. All I&#039;ve had today is some grapes. I have a sandwich in my lunchbox, but I don&#039;t have any appetite. I haven&#039;t had any of the side effects so far. I started with the 1.2 dose. The &quot;pen&quot; is really easy to use compared to my intramuscular testosterone. However, this drug is ridiculously expensive. Even with good insurance, I would have to pay almost $400 a MONTH!!! Fortunately, another serious illness pushed me over my out-of-pocket annual. So, I filled the script for $0. Due to politics I may have no insurance next year. Anyway, so far, so good with Victoza.""",10,2017-05-06,13,oral hypoglycemics,0.19166666666666668,positive,1.0,start last night zero appetit possibl love food dont realli feel like eat ive today grape sandwich lunchbox dont ani appetit havent ani side effect far start 1 2 dose quot pen quot realli easi use compar intramuscular testosteron howev drug ridicul expens even good insur would pay almost 400 month fortun anoth serious ill push pocket annual fill script 0 due polit may insur next year anyway far good victoza,0.11416666666666667,started this last night i have zero appetite how is this possible i love food but i dont really feel like eating all ive had today is some grapes i have a sandwich in my lunchbox but i dont have any appetite i havent had any of the side effects so far i started with the 1 2 dose the quot pen quot is really easy to use compared to my intramuscular testosterone however this drug is ridiculously expensive even with good insurance i would have to pay almost 400 a month fortunately another serious illness pushed me over my out of pocket annual so i filled the script for 0 due to politics i may have no insurance next year anyway so far so good with victoza,0.1716666666666667,128,84,658,48,11,21,56,4.1484375,2017,5,6
